ref,срещания,белег,църковнославянски (мерен),bg — ПОПРАВИ ТУК,целият стих
Ps.103:1,8,,"Благословѝ, дꙋшѐ моѧ̀, гдⷭ҇а. Гдⷭ҇и бж҃е мо́й, возвели́чилсѧ є҆сѝ ѕѣлѡ̀","Благославяй, душо моя, Господа! Господи, Боже мой, Ти си дивно велик;","Благославяй, душо моя, Господа! Господи, Боже мой, Ти си дивно велик; със слава и величие си облечен;"
Ps.26:1,7,,"Гдⷭ҇ь просвѣще́нїе моѐ и҆ сп҃си́тель мо́й, когѡ̀ ᲂу҆бою́сѧ",Господ е моя светлина и мое спасение; от кого ще се боя?,"Господ е моя светлина и мое спасение; от кого ще се боя? Господ е крепост на моя живот, от кого ще се плаша?"
Ps.73:2,7,,"Помѧнѝ со́нмъ тво́й, є҆го́же стѧжа́лъ є҆сѝ и҆спе́рва","Спомни си Твоя народ,","Спомни си Твоя народ, който Ти от старо време си придобил и изкупил за дял на Твоето притежание, спомни си тая Сион планина, на която си се заселил."
Ps.27:1,6,НЕ Е ПРЕНЕСЕНО,"Къ тебѣ̀, гдⷭ҇и, воззовꙋ̀, бж҃е мо́й: да не премолчи́ши ѿ менє̀ {ѡ҆ мнѣ̀}: да не когда̀ премолчи́ши ѿ менє̀ {ѡ҆ мнѣ̀",,"Към Тебе, Господи, викам: твърдиня моя, не бъди безмълвен към мене, та да не би при Твоето безмълвие да се уподобя на слизащ в гроб."
Ps.98:6,6,,"Мѡѷсе́й и҆ а҆арѡ́нъ во і҆ере́ехъ є҆гѡ̀, и҆ самꙋи́лъ въ призыва́ющихъ и҆́мѧ є҆гѡ̀","Моисей и Аарон между свещениците и Самуил между ония, които призовават името Му,","Моисей и Аарон между свещениците и Самуил между ония, които призовават името Му, викаха към Господа, и Той ги слушаше."
Dan.3:27,5,,"ꙗ҆́кѡ првⷣнъ є҆сѝ ѡ҆ всѣ́хъ, ꙗ҆̀же сотвори́лъ є҆сѝ на́мъ","Защото Ти си праведен във всичко, що направи с нас,","Защото Ти си праведен във всичко, що направи с нас, и Твоите всички дела са истински, Твоите пътища - прави и Твоите всички съдби - истински."
Ps.148:5,5,,"ꙗ҆́кѡ то́й речѐ, и҆ бы́ша: то́й повелѣ̀, и҆ созда́шасѧ."," защото Той (каза - и се създадоха,) заповяда - и се сътвориха;","Нека хвалят името на Господа, защото Той (каза - и се създадоха,) заповяда - и се сътвориха;"
Ps.75:12,4,,Помоли́тесѧ и҆ воздади́те гдⷭ҇еви бг҃ꙋ на́шемꙋ,"Въздавайте оброци на Господа, вашия Бог, и ги изпълнявайте; всички,","Въздавайте оброци на Господа, вашия Бог, и ги изпълнявайте; всички, които са около Него, да принесат дарове на Страшния:"
Ps.109:4,4,,ты̀ і҆ере́й во вѣ́къ по чи́нꙋ мелхїседе́ковꙋ., Ти си свещеник навеки по чина Мелхиседеков.,Кле се Господ и няма да се разкае: Ти си свещеник навеки по чина Мелхиседеков.
Ps.44:18,3,,Помѧнꙋ̀ и҆́мѧ твоѐ во всѧ́комъ ро́дѣ и҆ ро́дѣ,Ще направя да се помни Твоето име от рода в род;,Ще направя да се помни Твоето име от рода в род; затова народите ще Те славят от века до века.
Ps.44:5,3,,"налѧцы̀, и҆ ᲂу҆спѣва́й, и҆ црⷭ҇твꙋй и҆́стины ра́ди и҆ кро́тости и҆ пра́вды"," седни в колесница заради истината, красотата и правдата,","И в това Твое украшение побързай, седни в колесница заради истината, красотата и правдата, и Твоята десница ще Ти покаже чудни дела."
Hebr.1:9,3,,возлюби́лъ є҆сѝ пра́вдꙋ и҆ возненави́дѣлъ є҆сѝ беззако́нїе,"Ти обикна правдата и намрази беззаконието; затова,","Ти обикна правдата и намрази беззаконието; затова, Боже, Твоят Бог Те помаза с елей на радост повече от Твоите съучастници""."
Ps.92:1,3,,"Гдⷭ҇ь воцр҃и́сѧ, въ лѣ́потꙋ ѡ҆блече́сѧ: ѡ҆блече́сѧ","Господ царува; Той е облечен с величие,","Господ царува; Той е облечен с величие, облечен е Господ с могъщество (и) препасан: затова вселената е утвърдена и няма да се поклати."
Ps.92:1,3,,"и҆́бо ᲂу҆твердѝ вселе́ннꙋю, ꙗ҆́же не подви́житсѧ.", затова вселената е утвърдена и няма да се поклати.,"Господ царува; Той е облечен с величие, облечен е Господ с могъщество (и) препасан: затова вселената е утвърдена и няма да се поклати."
Ps.101:13,3,,и҆ па́мѧть твоѧ̀ въ ро́дъ и҆ ро́дъ., и паметта за Тебе е в род и род.,"А Ти, Господи, вечно пребъдваш, и паметта за Тебе е в род и род."
Ps.103:24,3,,"Ꙗ҆́кѡ возвели́чишасѧ дѣла̀ твоѧ̑, гдⷭ҇и: всѧ̑ премⷣростїю сотвори́лъ є҆сѝ","Колко са многобройни делата Ти, Господи! Всичко си направил премъдро;","Колко са многобройни делата Ти, Господи! Всичко си направил премъдро; земята е пълна с Твои произведения."
Ps.28:1,3,ПРОВЕРИ,"Принеси́те гдⷭ҇еви, сы́нове бж҃їи, принеси́те гдⷭ҇еви сы́ны ѡ҆́вни","Въздайте Господу, синове Божии,","Въздайте Господу, синове Божии, въздайте Господу слава и чест,"
Ps.92:6,3,НЯМА СТИХ,"До́мꙋ твоемꙋ̀ подоба́етъ ст҃ы́нѧ, гдⷭ҇и, въ долготꙋ̀ дні́й.",,
Ps.24:13,3,,Дꙋша̀ є҆гѡ̀ во благи́хъ водвори́тсѧ,"Неговата душа ще пребъде в добро,","Неговата душа ще пребъде в добро, и неговото семе ще наследи земята."
Ps.118:132,2,,При́зри на мѧ̀ и҆ поми́лꙋй мѧ̀,"Милостно погледни към мене и ме помилуй,","Милостно погледни към мене и ме помилуй, както постъпваш с ония, които обичат Твоето име."
Ps.50:3,2,,"Поми́лꙋй мѧ̀, бж҃е, по вели́цѣй млⷭ҇ти твое́й","Помилуй ме, Боже, по голямата Си милост,","Помилуй ме, Боже, по голямата Си милост, и по многото Си щедрости изглади беззаконията ми."
Ps.98:6,2,,"призыва́ющихъ и҆́мѧ є҆гѡ̀: призыва́хꙋ гдⷭ҇а, и҆ то́й послꙋ́шаше и҆̀хъ."," които призовават името Му, викаха към Господа, и Той ги слушаше.","Моисей и Аарон между свещениците и Самуил между ония, които призовават името Му, викаха към Господа, и Той ги слушаше."
Ps.97:1,2,,"Воспо́йте гдⷭ҇еви пѣ́снь но́вꙋ, ꙗ҆́кѡ ди̑вна сотворѝ гдⷭ҇ь","Възпейте Господу песен нова, защото Той чудеса извърши.","Възпейте Господу песен нова, защото Той чудеса извърши. Неговата десница и Неговата света мишца Му доставиха победа."
Ps.11:2,2,НЯМА СТИХ,"Сп҃си́ мѧ, гдⷭ҇и, ꙗ҆́кѡ ѡ҆скꙋдѣ̀ прпⷣбный",,
Ps.98:1,2,,"Гдⷭ҇ь воцр҃и́сѧ, да гнѣ́ваютсѧ лю́дїе",Господ царува: да треперят народите!,Господ царува: да треперят народите! Той седи на херувими: да се тресе земята!
Ps.88:20,2,,вознесо́хъ и҆збра́ннаго ѿ люді́й мои́хъ:, издигнах избраника измежду народа.,"Някога Ти бе говорил на Твоя светия във видение и бе казал: ""Аз дадох помощ на юначния, издигнах избраника измежду народа."
Ps.101:14,1,,Ты̀ воскр҃съ ᲂу҆ще́дриши сїѡ́на,"Ти ще станеш, ще се смилиш над Сион,","Ти ще станеш, ще се смилиш над Сион, защото време е да го помилуваш, - защото дойде време;"
Ps.101:20,1,,"гдⷭ҇ь съ нб҃сѐ на зе́млю призрѣ̀,"," от небесата Господ погледна на земята,","защото Той надникна от светата Си височина, от небесата Господ погледна на земята,"
Ps.88:2,1,,"Млⷭ҇ти твоѧ̑, гдⷭ҇и, во вѣ́къ воспою̀","Милостите (Твои), Господи, вечно ще възпявам,","Милостите (Твои), Господи, вечно ще възпявам, от рода в род ще разгласям с уста Твоята истина."
Ps.88:3,1,ПРОВЕРИ,Занѐ ре́клъ є҆сѝ: въ вѣ́къ млⷭ҇ть сози́ждетсѧ,"Защото, казвам: навеки е основана милостта,","Защото, казвам: навеки е основана милостта, на небесата Ти утвърди Твоята истина, когато каза:"
Ps.118:133,1,НЕ Е ПРЕНЕСЕНО,Стѡпы̀ моѧ̑ напра́ви по словесѝ твоемꙋ̀,,Утвърди стъпките ми в Твоето слово и не давай да ме обладае никакво беззаконие;
Ps.24:1,1,,"Къ тебѣ̀, гдⷭ҇и, воздвиго́хъ дꙋ́шꙋ мою̀","Към Тебе,","Към Тебе, Господи, въздигам душата си."
Ps.97:3,1,,ви́дѣша всѝ концы̑ землѝ спⷭ҇нїе бг҃а на́шегѡ., Всички краища земни видяха спасението от нашия Бог.,Спомни си Той Своята милост (към Иакова) и верността Си към Израилевия дом. Всички краища земни видяха спасението от нашия Бог.
Ps.2:2,1,,кнѧ̑зи собра́шасѧ вкꙋ́пѣ на гдⷭ҇а и҆ на хрⷭ҇та̀ є҆гѡ̀., И князете се съвещават заедно против Господа и против Неговия Помазаник.,Въстават царете земни. И князете се съвещават заедно против Господа и против Неговия Помазаник.
Act.4:25,1,,"вскꙋ́ю шата́шасѧ ꙗ҆зы́цы, и҆ лю́дїе поꙋчи́шасѧ тщє́тнымъ;"," ""защо се развълнуваха народите, и людете замислиха суетни неща?","Ти си, Който чрез Духа Светаго с устата на отца ни Давида, Твоя раб, си казал: ""защо се развълнуваха народите, и людете замислиха суетни неща?"
Ps.40:10,1,,"ꙗ҆ды́й хлѣ́бы моѧ̑, возвели́чи на мѧ̀ запина́нїе."," който е ял хляба ми, дигна против мене пета.","Дори човекът, който беше в мир с мене, комуто се осланях, който е ял хляба ми, дигна против мене пета."
Ps.68:21,1,,Поноше́нїе ча́ѧше дꙋша̀ моѧ̀ и҆ стра́сть,"Позорът съкруши сърцето ми, и аз изнемощях,","Позорът съкруши сърцето ми, и аз изнемощях, очаквах състрадание, но го няма, - утешители, ала не намирам."
Rom.11:10,1,,да помрача́тсѧ ѻ҆́чи и҆́хъ є҆́же не ви́дѣти,"да потъмнеят очите им, за да не виждат,","да потъмнеят очите им, за да не виждат, и гръбнака им превий завинаги""."
Ps.67:3,1,,"Ꙗ҆́кѡ и҆счеза́етъ ды́мъ, да и҆сче́знꙋтъ: ꙗ҆́кѡ та́етъ во́скъ ѿ лица̀ ѻ҆гнѧ̀","Разнеси ги, както се дим разнася; както се топи восък от огън,","Разнеси ги, както се дим разнася; както се топи восък от огън, тъй и нечестивците да загинат от лицето Божие."
Ps.30:2,1,,"На тѧ̀, гдⷭ҇и, ᲂу҆пова́хъ, да не постыжꙋ́сѧ во вѣ́къ","На Тебе, Господи, се уповавам, да се не посрамя навеки;","На Тебе, Господи, се уповавам, да се не посрамя навеки; по Твоята правда избави ме;"
Ps.30:3,1,,"бꙋ́ди мѝ въ бг҃а защи́тителѧ и҆ въ до́мъ прибѣ́жища, є҆́же спⷭ҇ти́ мѧ."," Бъди ми каменна твърдиня, дом за прибежище, за да ме спасиш,","наклони ухо към мене, побързай да ме избавиш. Бъди ми каменна твърдиня, дом за прибежище, за да ме спасиш,"
Ps.31:11,1,НЕ Е ПРЕНЕСЕНО,"Весели́тесѧ ѡ҆ гдⷭ҇ѣ и҆ ра́дꙋйтесѧ првⷣнїи, и҆ хвали́тесѧ, всѝ пра́вїи",,"Веселете се в Господа и радвайте се, праведници; тържествувайте, всички прави по сърце."
Ps.86:2,1,,Ѡ҆снова̑нїѧ є҆гѡ̀ на гора́хъ ст҃ы́хъ,Основите му са на свети планини.,Основите му са на свети планини. Господ обича портите Сионски повече от всички селища на Иакова.
Ps.95:1,1,,Воспо́йте гдⷭ҇еви пѣ́снь но́вꙋ,"Възпейте Господу песен нова,","Възпейте Господу песен нова, възпейте Господу, цяла земьо;"
Ps.49:1,1,НЕ Е ПРЕНЕСЕНО,"Бг҃ъ богѡ́въ гдⷭ҇ь гл҃а, и҆ призва̀ зе́млю",,"Бог на боговете, Господ заговори и призовава земята от изгрев-слънце до запад."
Ps.43:2,1,,"Бж҃е, ᲂу҆ши́ма на́шима ᲂу҆слы́шахомъ, и҆ ѻ҆тцы̀ на́ши возвѣсти́ша на́мъ","Боже, с ушите си сме чули, нашите отци са ни разказвали за делото,","Боже, с ушите си сме чули, нашите отци са ни разказвали за делото, което си сторил през техни дни, в стародавни дни:"
Ps.2:7,1,,"Гдⷭ҇ь речѐ ко мнѣ̀: сн҃ъ мо́й є҆сѝ ты̀, а҆́зъ дне́сь роди́хъ тѧ̀:", Господ Ми каза: Син Мой си Ти; Аз днес Те родих *;,ще възвестя определението: Господ Ми каза: Син Мой си Ти; Аз днес Те родих *;
Ps.78:3,1,,пролїѧ́ша кро́вь и҆́хъ ꙗ҆́кѡ во́дꙋ,"проляха кръвта им като вода около Иерусалим,","проляха кръвта им като вода около Иерусалим, и нямаше, кой да ги погребе."
Ps.79:2,1,,"Пасы́й і҆и҃лѧ, вонмѝ: наставлѧ́ѧй ꙗ҆́кѡ ѻ҆вча̀ і҆ѡ́сифа","Пастирю Израилев, послушай! Ти, Който водиш като стадо Иосифа,","Пастирю Израилев, послушай! Ти, Който водиш като стадо Иосифа, Който седиш на херувимите, яви се!"
Ps.44:2,1,,"Ѿры́гнꙋ се́рдце моѐ сло́во бла́го, глаго́лю а҆́зъ дѣла̀ моѧ̑ цр҃е́ви",Из сърцето ми се изля блага дума; аз говоря; моята песен е за Царя;,Из сърцето ми се изля блага дума; аз говоря; моята песен е за Царя; езикът ми е перо на бързописец.
Ps.44:3,1,,Красе́нъ добро́тою па́че сынѡ́въ человѣ́ческихъ,Ти си най-прекрасният от синовете човечески;,Ти си най-прекрасният от синовете човечески; благодат се изля от Твоите уста; затова Бог Те е благословил навеки.
Ps.45:2,1,,Бг҃ъ на́мъ прибѣ́жище и҆ си́ла,"Бог е нам прибежище и сила,","Бог е нам прибежище и сила, бърз помощник в беди,"
Ps.45:2,1,,помо́щникъ въ ско́рбехъ ѡ҆брѣ́тшихъ ны̀ ѕѣлѡ̀.," бърз помощник в беди,","Бог е нам прибежище и сила, бърз помощник в беди,"
Lk.1:76,1,,"И҆ ты̀, ѻ҆троча̀, прⷪ҇ро́къ вы́шнѧгѡ нарече́шисѧ","И ти, младенецо, ще се наречеш пророк на Всевишния,","И ти, младенецо, ще се наречеш пророк на Всевишния, понеже ще вървиш пред лицето на Господа, за да приготвиш Неговите пътища,"
Ps.49:5,1,НЕ Е ПРЕНЕСЕНО,"Собери́те є҆мꙋ̀ прпⷣбныѧ є҆гѡ̀, завѣща́ющыѧ завѣ́тъ є҆гѡ̀",,"съберете при Мене Моите светии, които при жертва са встъпили в завет с Мене."
Ps.39:2,1,НЕ Е ПРЕНЕСЕНО,"Терпѧ̀ потерпѣ́хъ гдⷭ҇а, и҆ внѧ́тъ мѝ",,"Твърдо се уповавах на Господа, и Той се наклони към мене и чу моите вопли;"
Ps.88:12,1,,"Твоѧ̑ сꙋ́ть небеса̀, и҆ твоѧ̀ є҆́сть землѧ̀",Твои са небесата и Твоя е земята;,"Твои са небесата и Твоя е земята; вселената и онова, що я пълни, Ти си основал."
Ps.88:16,1,,Бл҃же́ни лю́дїе вѣ́дꙋщїи воскликнове́нїе,"Блажен народът, който познава тръбния зов!","Блажен народът, който познава тръбния зов! Те ходят в светлината на лицето Ти, Господи,"
